,cq,baseline,plateau,slope,inflection,asymmetry,drift,CurveCall
238372,17.205070644408,15.905177055581,17.299006933686,-0.10365348439239,2.3610944658115e-05,5.4357251872908,0.043950776879605,False
120116,46.113145258138,20.457668748268,35.456917051743,-0.43271404400525,41.947431522153,5.5,0.01501211249206,False
54086,40.463127115643,17.059285998617,35.177992485579,-0.4082732402024,36.048037760354,5.5,0.080716059131937,True
272104,39.837942845694,22.472021837155,49.601153854215,-0.43194471510312,35.664809632486,5.5,0.13254168848374,True
339516,,19.340325132245,20.941333075419,-0.13786672922781,14.375019425227,5.5,-0.018614156829126,False
161818,21.32920928733,21.871740979018,23.809221219777,-0.25613142243754,14.291561115497,5.5,-0.0011654632413842,False
120732,21.506669408325,27.652127288823,32.6512759237,-0.10061569010288,7.4085037894248,4.3621545068631,-0.048266875154382,False
214026,38.773223165925,17.306708890586,32.378103406491,-0.393594348696,34.193475405728,5.5,0.02805061554725,True
53367,38.48526716148,17.946161653653,35.986461755105,-0.45401387551075,34.514985780016,5.5,0.041499307318834,True
434766,20.584076339582,14.616822599583,17.259053831466,-0.21534553103765,23.508398826306,1.482622680963,0.032906019091965,False
51641,46.424863176574,20.633996113244,34.871173979032,-0.66200889260739,46.133552873469,2.2055702556809,0.045021722967278,False
107480,49.816400508519,17.839468429742,19.418714126428,-0.75115815255176,47.416689035319,5.5,0.075424244699003,False
157881,25.90937484542,25.787151572972,40.57591535198,-0.069571838287149,0.0,5.5,-0.11790053653541,False
133629,39.03364622177,21.664164658416,42.367292439482,-0.46744064164811,35.177407212447,5.5,0.08890851034751,True
19778,23.493308609943,11.387058195955,22.105535160963,-0.06069699734199,0.0,4.3815704499658,-0.086539598118856,False
19809,22.799559926147,15.339435651385,17.073448992359,-0.079061299547254,0.0,5.5,0.024652824522839,False
238417,21.654363152679,17.373477823896,17.806305760136,-0.12499987840871,7.233846430472,5.5,0.015792608243341,False
30018,47.807454807484,17.130257771024,36.761662316341,-0.3862132458826,43.140181335941,5.5,0.070026144939709,False
291980,,15.983979105829,44.541429188622,-0.37692075257082,48.566752849394,5.5,0.02423802214603,False
25388,39.036999763295,22.170706331627,45.950889620876,-0.39623952442515,34.487825019857,5.5,0.040942860841902,True
