,cq,baseline,plateau,slope,inflection,asymmetry,drift
149445,40.652929434321,16.102136958598,30.456214743638,-0.39409418227386,36.078990213838,5.5,0.069062230880488
157998,38.081951369798,16.311318950869,36.373505940371,-0.44117967226781,33.996171923975,5.5,0.027692041055373
107315,48.984385286255,21.257022099189,36.239639430414,-0.45432978502488,45.016864563906,5.5,0.034004641650142
434796,,-78.751009142339,76.641007299148,-0.022738505056526,48.327875294869,0.5,-0.42722196023925
53387,39.131771123656,19.721720169544,36.14022940598,-0.42859090201109,34.925982273709,5.5,0.058257324332411
434767,,-68.456003056696,166.26923874872,-0.035864896341989,41.123258853108,0.78345088216305,-1.2620549067143
169786,39.95432182422,14.706183248965,32.942590984823,-0.39234940728718,35.360042328986,5.5,0.11502762825284
177652,,21.340565030776,57.421020358698,-0.3982269810163,45.997030461956,5.5,0.041518973408731
25920,38.867317252248,21.99508070363,38.914764348656,-0.47877387010058,35.102360663268,5.5,-0.003847032299068
25440,38.8216058721,14.778286880527,32.117337388316,-0.43986299185893,34.723596104902,5.5,0.071526575863764
374766,,11.282072588903,39.419716550764,-1.5747861627445,59.322713082279,0.5,0.010964163518381
26248,37.774422444313,20.845684631417,38.93974668635,-0.44477799212713,33.721697559599,5.5,0.034451398909732
292003,45.842551452067,18.93974348656,32.809956656902,-0.78355137214442,47.236623553307,1.2142069439231,0.013491344948763
85542,38.256017205752,23.790533408514,46.90298525861,-0.44953167949554,34.246148893713,5.5,0.055844268102769
441197,45.545783577165,12.174306553274,22.971062948677,-1.0140112338752,48.080363703795,0.7156611118108,0.010067352463155
151657,39.640109559733,11.450154605544,25.326525781431,-0.40071183707824,35.141707790497,5.5,0.058160810364759
25859,40.413076547456,15.997689588374,33.69618044629,-0.39849588660453,35.889660127211,5.5,0.079586727726192
313389,39.98271275992,16.998328958476,37.043514401589,-0.45340685939303,36.007116009399,5.5,0.098456186498896
107609,39.314054079394,17.446479066851,36.916857343409,-0.42050925174486,35.027435344165,5.5,0.073560503729386
292416,38.908629276244,18.145378378441,36.199519774838,-0.45060281980295,34.908292932022,5.5,0.02113152108084
39860,37.934437328525,15.988421839751,31.510676252477,-0.38891985939844,33.299644855714,5.5,0.048310955156507
133210,29.817991322671,27.607628803352,29.021276649297,-0.24342697390481,22.413048444108,5.5,0.023582221459677
25844,14.649516445352,20.452851982606,23.339681875898,-0.14720710191127,2.4044357837324,5.5,0.069715170534857
120712,26.086572320837,18.897591464119,19.867579750182,-0.01,39.887075415019,1.8680205314492,0.061408268757248
25432,21.454110926512,19.456524534255,21.064944718567,-0.21209719355565,12.955352377905,5.5,0.057850551620187
455376,43.531004943321,15.476010984657,28.75364974588,-0.50286629903877,39.946428207294,5.5,0.074465007753099
434803,,11.579684945813,13.363195760735,-0.074373242277192,0.0,1.0941646971136,0.021719834002104
217378,,20.380827383262,20.82058913589,-0.22257382740354,24.882343743939,5.5,-0.0019237372908197
94004,48.395530907378,16.552776185264,28.687422888278,-0.40381852380228,43.931736577455,5.5,0.031411769269285
94133,40.329427224868,16.288706658033,32.324483059178,-0.42055692319883,36.043294391396,5.5,0.035047300194823
217406,25.213624238452,16.817580081808,18.013903462303,-0.22602363419306,17.917983928664,5.0088187974397,0.049998231803269
22820,,18.888562888968,19.609940031832,-1.4091914291566,60.0,1.9626134933603,0.029871134784486
149840,17.754594563338,22.109584077634,23.874765306831,-0.16839063162043,7.0499441946065,5.5,0.0271992526018
177481,,24.138885860318,39.839425972319,-0.45503116459124,48.087856439981,5.5,0.054874899760354
272124,39.694175875813,16.806076215798,35.483326839988,-0.41841944712294,35.38614753425,5.5,0.069120794202413
162019,38.164373729578,17.318780200763,35.651233986848,-0.43301310120004,34.001537012003,5.5,0.022753628175132
55141,38.279241118182,26.989551909449,48.53597133143,-0.4378356707938,34.162256237534,5.5,0.060027499832127
339624,24.267613223021,13.976496287006,19.246364267656,-0.11215687860199,8.1958139777563,5.5,-0.042223289718162
243057,37.968038608161,17.069410479198,33.496522010003,-0.43384758581856,33.813208903472,5.5,0.014653272565114
154268,22.318929719694,24.83810719596,25.765632026814,-0.29347958922869,25.158333844356,1.3550129963707,0.031959337706847
120785,40.052939380705,17.189592943707,36.861713602808,-0.40083771935,35.555950325409,5.5,0.048598659530228
288751,38.379667231227,24.035625626414,47.820521927856,-0.44484406468665,34.327544296561,5.5,0.015674025965997
240270,38.130429086107,20.881881537177,44.471379791576,-0.4270535848358,33.90950014212,5.5,0.017833497436023
374804,28.317263269634,13.226162420516,14.562149580153,-0.01,41.152615795515,1.8768703426945,0.080120106143063
441277,38.879084972574,14.864932929884,38.677118632912,-0.42152532308568,34.602798974686,5.5,0.1251647052045
217395,37.387526446377,16.970248032403,33.208032412429,-0.44240200098595,33.313035750473,5.5,0.012165986386828
